ID,Name,Status,Archived,Created,Updated,Trigger Type,Actions,Emails,SMS,Delays,Tags
JcMYCj,*BL Customer Winback,draft,False,2019-09-13T22:06:03+00:00,2019-11-08T23:26:54+00:00,Metric,4,2,0,2,
KgYj8r,*BL Browse Abandonment Flow,manual,False,2019-09-13T22:06:00+00:00,2024-04-19T17:53:13+00:00,Metric,7,2,1,2,
M9WMUG,Post Purchase - Non Members,manual,False,2019-11-25T20:17:09+00:00,2024-02-09T21:01:05+00:00,Metric,6,3,0,2,
QSDScz,Ecomm Customer Winback,live,False,2024-05-06T18:57:26+00:00,2024-05-08T22:52:47+00:00,Metric,25,8,0,8,
R59TG3,#2 Story of Impulse Records Order Update WITH CODE [6.14.2024],manual,False,2024-06-14T14:08:47+00:00,2024-06-14T14:08:48+00:00,Added to List,2,1,0,1,shipping update
R5UvLN,New Template - Gatsby - Flow 4 - Referral Code (clone),draft,False,2024-02-22T21:02:49+00:00,2024-02-22T21:02:51+00:00,Added to List,4,1,1,1,
REqzkD,*OVERLAPS* PLANT UPDATE - Beastie Boys Check Your Head [5.2024] (clone) (clone),manual,False,2024-05-10T23:45:42+00:00,2024-05-10T23:45:43+00:00,Added to List,2,1,0,1,shipping update
RNhPzt,Welcome Series - SMS,manual,False,2021-02-18T18:15:12+00:00,2021-02-18T18:16:54+00:00,Metric,3,0,3,0,sms
RSYNcG,Customer Winback,manual,False,2024-07-01T01:53:26+00:00,2024-07-01T01:53:29+00:00,Metric,4,2,0,2,
RTMU5w,2023 Member Welcome Series -shopify tag trigger,manual,False,2023-03-28T17:43:20+00:00,2023-03-28T17:43:37+00:00,Added to List,7,4,0,3,
RUJyF9,*new* [JUNIP] Product Review Request,draft,False,2025-01-06T20:05:17+00:00,2025-01-06T20:11:38+00:00,Metric,7,3,0,2,product-review
RYgtrn,PLANT UPDATE - Dizzy Gillespie Afro - Bundle [5.2024],manual,False,2024-05-09T18:30:12+00:00,2024-05-09T18:30:32+00:00,Added to List,2,1,0,1,shipping update
