Tag Name,Status,Total Usage,Lists,Segments,Flows,Age (Days),Created At,Updated At
rotms,Active,102,87,15,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
shipping update,Active,95,59,2,34,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
anthology,Active,80,27,26,27,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
rotm,Active,70,63,7,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
customer service,Active,47,47,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
store,Active,46,27,19,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
waitlist,Active,27,23,4,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
grateful dead,Active,17,9,5,3,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
2020 Price Increase,Active,15,15,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
test,Active,14,14,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
back in stock,Active,12,12,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
Herbie Hancock,Active,11,7,4,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
APRIL 2020 PROMO LISTS,Active,9,9,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
#tbt,Active,7,7,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
8_records_for_the_love,Active,7,7,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
Plant Update,Active,7,7,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
RFM,Active,7,0,7,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
store drop,Active,7,4,3,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
students of vinyl,Active,7,0,7,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
April 2020 Announce,Active,6,6,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
GD / Mayer Campaigns,Active,6,4,2,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
maintenance,Active,6,0,6,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
master,Active,6,0,6,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
oversells,Active,6,6,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
1x buyers,Active,5,2,3,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
"waitlist me, please",Active,5,5,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
2021 holiday,Active,4,0,4,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
MAY 2020 Announce,Active,4,4,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
aug_winback_2022,Active,4,4,0,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
country,Active,4,3,1,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
hip-hop,Active,4,3,1,0,0,2025-02-10T14:57:43.242147+00:00,2025-02-10T14:57:43.242147+00:00
